Artist,Album
Vince Guaraldi,A Charlie Brown Christmas
Harry Connick Jr.,When my Heart Finds Christmas
Bing Crosby,Merry Christmas
Frank Sinatra,A Jolly Christmas
Dean Martin,Christmas with Dino
Nat King Cole,The Christmas Song
Johnny Mathis,The Christmas Music of Johnny Mathis
Ela Minus,Dominique
Ela Minus,Dia
Rufus Du Sol,Solace
U2,How to Dismantle An Atomic Bomb
Steely Dan,Aja
Killer Mike,Michael
Vince Staples,Dark Times
Future,FUTURE
Young Thug,Jeffrey
Ninajirachi,I Love My Computer
Interpol,Antics
Freddie Gibbs,Alfredo
Freddie Gibbs,Pinata
Freddie Gibbs,Baby Face Killa
Easy Star All Stars,Dub Side of the Moon
Future ,DS2
Pale Jay,The Celestial Suite
Anderson Paak,Malibu
Tiesto ,Club Life Vol 1 & 2
Gorgon City,Sirens
ASAP Rocky,Live Love ASAP
ASAP Rocky,Long Live ASAP
Action Bronson,Blue Chips
Action Bronson,Mr Wonderful
Kaskade,Fire and Ice
Kaskade,Automatic
James Blake,Playing Robots into Heaven
Travis Scott,Astroworld
Banks,Goddess
Big Wild,Superdream
Cut Copy,In Ghost Colors
DaBaby,Kirk
Kenny Rogers,Greatest Hits
Joey Badass,All Amerikkkan Badass
Daft Punk,Random Access Memories
Drake,If You're Reading this it's too late
Odesza,In Return 
Rick Ross,Rich Forever
Billie Eilish,Don't Smile at Me
Calvin Harris,18 Months
Cornelius Brothers & Sister Rose,The Story Of Cornelius Brothers & Sister Rose
Donnie and Joe Emerson,Dreamin' Wild
Doobie Brothers,What were once vices are now habits
Dr Dre,2001
Dylan Leblanc,Renegade
Dylan Leblanc,Cautionary Tale
Jay Z,4:44
Rhye, Blood
Rhye, Woman
